,Table 1:  National ad European  Emission Factors for Electricity Consumption: tCO2/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,"0,283","0,283","0,224","0,213","0,233","0,252","0,261","0,261","0,229","0,224","0,203","0,226","0,225","0,259","0,259","0,257","0,237","0,221","0,205","0,190","0,220","0,217","0,179","0,164","0,142","0,153","0,140","0,159","0,145","0,147","0,130"
Belgium,"0,430","0,409","0,385","0,389","0,401","0,393","0,372","0,340","0,364","0,322","0,317","0,288","0,290","0,292","0,285","0,298","0,276","0,270","0,258","0,249","0,249","0,218","0,216","0,189","0,180","0,190","0,174","0,175","0,177","0,186","0,181"
Bulgaria,"0,860","0,790","0,903","0,946","0,861","0,812","0,761","0,896","0,911","0,829","0,810","0,938","0,859","0,911","0,896","0,867","0,839","0,955","0,886","0,852","0,920","1,050","0,900","0,774","0,827","0,854","0,732","0,769","0,696","0,635","0,528"
Croatia,"0,253","0,181","0,329","0,358","0,205","0,239","0,255","0,274","0,337","0,330","0,288","0,337","0,375","0,409","0,305","0,289","0,280","0,337","0,283","0,242","0,212","0,232","0,215","0,206","0,177","0,174","0,194","0,154","0,124","0,141","0,145"
Cyprus,"0,944","0,936","0,970","0,949","0,946","0,944","0,966","0,985","0,986","0,993","0,963","0,907","0,864","0,946","0,885","0,890","0,865","0,864","0,855","0,844","0,789","0,787","0,799","0,716","0,734","0,735","0,742","0,720","0,709","0,686","0,684"
Czech Republic,"1,047","1,093","1,095","1,102","1,060","1,042","1,052","1,001","1,014","0,967","1,066","1,053","1,036","0,988","1,000","0,991","0,981","1,028","0,943","0,926","0,928","0,926","0,862","0,821","0,816","0,795","0,787","0,711","0,703","0,688","0,594"
Denmark,"0,621","0,870","0,687","0,707","0,824","0,714","1,068","0,810","0,687","0,604","0,517","0,528","0,533","0,649","0,472","0,377","0,591","0,473","0,416","0,435","0,399","0,318","0,229","0,292","0,226","0,139","0,187","0,136","0,142","0,070","0,058"
Estonia,"2,308","1,985","2,001","1,796","1,931","2,117","2,036","1,922","1,920","1,958","1,859","1,732","1,633","1,854","1,835","1,686","1,449","1,731","1,544","1,267","1,730","1,890","1,584","1,971","1,782","1,464","1,468","1,571","1,447","0,691","0,414"
Finland,"0,181","0,197","0,157","0,196","0,259","0,228","0,312","0,262","0,190","0,185","0,166","0,216","0,231","0,323","0,274","0,148","0,260","0,231","0,171","0,182","0,227","0,179","0,120","0,155","0,128","0,094","0,096","0,088","0,101","0,078","0,065"
France,"0,152","0,175","0,137","0,099","0,094","0,109","0,110","0,100","0,135","0,120","0,103","0,081","0,091","0,094","0,090","0,111","0,101","0,105","0,093","0,099","0,098","0,089","0,093","0,089","0,067","0,072","0,075","0,086","0,069","0,071","0,066"
Germany,"0,768","0,765","0,729","0,723","0,727","0,706","0,706","0,683","0,671","0,637","0,636","0,656","0,637","0,615","0,599","0,595","0,600","0,627","0,589","0,571","0,561","0,560","0,590","0,600","0,585","0,571","0,567","0,528","0,503","0,426","0,375"
Greece,"1,232","1,167","1,184","1,163","1,113","1,077","1,007","1,034","1,033","1,022","1,030","1,013","0,964","0,943","0,939","0,925","0,853","0,869","0,827","0,816","0,779","0,820","0,827","0,762","0,697","0,599","0,500","0,563","0,575","0,474","0,377"
Hungary,"0,570","0,634","0,733","0,722","0,679","0,691","0,675","0,693","0,737","0,745","0,663","0,643","0,590","0,605","0,538","0,471","0,459","0,492","0,466","0,398","0,399","0,375","0,353","0,287","0,269","0,262","0,266","0,231","0,210","0,190","0,186"
Ireland,"0,906","0,909","0,914","0,891","0,886","0,879","0,861","0,846","0,846","0,821","0,766","0,801","0,741","0,656","0,640","0,629","0,573","0,560","0,537","0,510","0,522","0,476","0,527","0,468","0,461","0,470","0,491","0,452","0,380","0,319","0,296"
Italy,"0,573","0,549","0,535","0,515","0,513","0,546","0,524","0,514","0,515","0,496","0,500","0,477","0,500","0,508","0,502","0,482","0,484","0,475","0,460","0,410","0,406","0,399","0,390","0,340","0,323","0,329","0,326","0,322","0,295","0,280","0,267"
Latvia,"0,092","0,101","0,086","0,110","0,131","0,117","0,140","0,132","0,123","0,126","0,119","0,113","0,101","0,097","0,082","0,074","0,088","0,076","0,089","0,087","0,125","0,128","0,083","0,124","0,100","0,121","0,115","0,074","0,121","0,123","0,074"
Lithuania,"0,507","0,545","0,348","0,358","0,364","0,353","0,431","0,330","0,476","0,387","0,314","0,340","0,327","0,311","0,322","0,320","0,271","0,238","0,216","0,250","0,198","0,132","0,135","0,093","0,070","0,078","0,048","0,029","0,021","0,023","0,059"
Luxembourg,"0,417","0,441","0,414","0,404","0,300","0,182","0,150","0,089","0,030","0,032","0,034","0,064","0,183","0,159","0,185","0,189","0,184","0,166","0,140","0,179","0,168","0,139","0,150","0,092","0,095","0,060","0,026","0,024","0,022","0,022","0,015"
Malta,"1,935","1,330","1,225","1,657","1,491","1,265","1,232","1,187","1,169","1,129","1,024","1,275","1,182","1,197","1,155","1,063","1,078","1,097","1,073","1,094","1,022","1,024","1,039","0,850","0,806","0,403","0,264","0,306","0,294","0,304","0,349"
Netherlands,"0,591","0,575","0,573","0,562","0,559","0,552","0,529","0,511","0,510","0,461","0,462","0,490","0,486","0,487","0,484","0,455","0,432","0,453","0,446","0,462","0,467","0,433","0,429","0,424","0,465","0,510","0,500","0,471","0,433","0,400","0,337"
Poland,"1,398","1,473","1,502","1,470","1,485","1,400","1,358","1,321","1,291","1,294","1,277","1,269","1,261","1,278","1,250","1,246","1,234","1,172","1,106","1,100","1,064","1,075","1,022","1,024","0,957","0,948","0,905","0,895","0,856","0,774","0,722"
Portugal,"0,639","0,640","0,738","0,669","0,593","0,677","0,501","0,514","0,549","0,660","0,560","0,529","0,588","0,463","0,474","0,525","0,443","0,385","0,377","0,400","0,280","0,332","0,368","0,318","0,317","0,394","0,371","0,450","0,366","0,260","0,212"
Romania,"0,940","1,034","0,883","1,030","1,085","1,018","0,993","0,762","0,638","0,705","0,765","0,721","0,764","0,886","0,779","0,705","0,784","0,797","0,781","0,712","0,586","0,705","0,661","0,505","0,489","0,510","0,465","0,481","0,461","0,434","0,332"
Slovak Republic,"0,432","0,460","0,437","0,472","0,420","0,436","0,398","0,422","0,434","0,437","0,350","0,397","0,361","0,404","0,360","0,365","0,334","0,278","0,280","0,285","0,274","0,276","0,268","0,234","0,216","0,218","0,204","0,207","0,192","0,182","0,187"
Slovenia,"0,588","0,508","0,600","0,607","0,522","0,538","0,491","0,507","0,535","0,445","0,439","0,463","0,484","0,438","0,426","0,418","0,418","0,430","0,429","0,465","0,443","0,432","0,415","0,396","0,302","0,294","0,312","0,301","0,298","0,287","0,297"
Spain,"0,525","0,521","0,590","0,509","0,499","0,548","0,433","0,478","0,457","0,530","0,517","0,453","0,524","0,459","0,467","0,481","0,457","0,464","0,399","0,359","0,287","0,345","0,374","0,300","0,313","0,352","0,291","0,336","0,301","0,234","0,185"
Sweden,"0,011","0,020","0,018","0,019","0,022","0,019","0,041","0,022","0,024","0,021","0,018","0,019","0,024","0,031","0,025","0,023","0,023","0,018","0,019","0,020","0,027","0,020","0,016","0,016","0,013","0,012","0,014","0,014","0,016","0,015","0,013"
United Kingdom,"0,803","0,775","0,754","0,659","0,634","0,634","0,605","0,556","0,557","0,517","0,555","0,574","0,572","0,611","0,581","0,570","0,601","0,596","0,574","0,533","0,533","0,520","0,569","0,529","0,471","0,396","0,312","0,278","0,253",-,-
EU-28,"0,605","0,601","0,579","0,552","0,545","0,545","0,534","0,511","0,506","0,488","0,486","0,484","0,490","0,492","0,475","0,468","0,470","0,473","0,444","0,424","0,410","0,414","0,415","0,392","0,375","0,367","0,345","0,339","0,316",-,-
EU-27,"0,576","0,575","0,553","0,536","0,532","0,532","0,523","0,504","0,498","0,483","0,476","0,471","0,478","0,475","0,461","0,453","0,452","0,457","0,427","0,410","0,394","0,401","0,396","0,375","0,363","0,363","0,350","0,346","0,324","0,286","0,254"